Date,n_tx
2019-04-10,396501.0
2019-04-13,367076.0
2019-04-16,358517.0
2019-04-19,362128.0
2019-04-22,342014.0
2019-04-25,384089.0
2019-04-28,383291.0
2019-05-01,439549.0
2019-05-04,355910.0
2019-05-07,329943.0
2019-05-10,322963.0
2019-05-13,390428.0
2019-05-16,375062.0
2019-05-19,346859.0
2019-05-22,394887.0
2019-05-25,338398.0
2019-05-28,390427.0
2019-05-31,298997.0
2019-06-03,294009.0
2019-06-06,364526.0
2019-06-09,300917.0
2019-06-12,328464.0
2019-06-15,330954.0
2019-06-18,394843.0
2019-06-21,337741.0
2019-06-24,388342.0
2019-06-27,361050.0
2019-06-30,330731.0
2019-07-03,397554.0
2019-07-06,348674.0
2019-07-09,365588.0
2019-07-12,360899.0
2019-07-15,349111.0
2019-07-18,315745.0
2019-07-21,283934.0
2019-07-24,295589.0
2019-07-27,283892.0
2019-07-30,328375.0
2019-08-02,349556.0
2019-08-05,339136.0
2019-08-08,336181.0
2019-08-11,273280.0
2019-08-14,359997.0
2019-08-17,288256.0
2019-08-20,333304.0
2019-08-23,340220.0
2019-08-26,318219.0
2019-08-29,346734.0
2019-09-01,285468.0
2019-09-04,324741.0
2019-09-07,314429.0
2019-09-10,339858.0
2019-09-13,308856.0
2019-09-16,347341.0
2019-09-19,346110.0
2019-09-22,318713.0
2019-09-25,347747.0
2019-09-28,314433.0
2019-10-01,337244.0
2019-10-04,337222.0
2019-10-07,328803.0
2019-10-10,345048.0
2019-10-13,279487.0
2019-10-16,338473.0
2019-10-19,304736.0
2019-10-22,341464.0
2019-10-25,328598.0
2019-10-28,309611.0
2019-10-31,293779.0
2019-11-03,294367.0
2019-11-06,314698.0
2019-11-09,306163.0
2019-11-12,301382.0
2019-11-15,325145.0
2019-11-18,304671.0
2019-11-21,323954.0
2019-11-24,267368.0
2019-11-27,317597.0
2019-11-30,277458.0
2019-12-03,336512.0
2019-12-06,315386.0
2019-12-09,313629.0
2019-12-12,311795.0
2019-12-15,263441.0
2019-12-18,314249.0
2019-12-21,311118.0
2019-12-24,290436.0
2019-12-27,322204.0
2019-12-30,324497.0
2020-01-02,295567.0
2020-01-05,287779.0
2020-01-08,318019.0
